Time            T               dT              flags          
1.6786453E+11  2.5643500E+02  1.5400000E-01  0.0000000E+00 
1.6786496E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6786540E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6786583E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6786626E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6786670E+11  2.5640500E+02  1.5400000E-01  0.0000000E+00 
1.6786713E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6786757E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6786800E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6786844E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6786887E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6786931E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6786974E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6786974E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787018E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787018E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787061E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787061E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787105E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787105E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787148E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787148E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787192E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787235E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6787322E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787366E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787409E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6787452E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787496E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787539E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787583E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6787626E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6787670E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6787713E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787757E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787800E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787844E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6787887E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6787931E+11  2.5648150E+02  1.5300000E-01  0.0000000E+00 
1.6787974E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788018E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788061E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788105E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6788148E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788191E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788235E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788278E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788322E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788365E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788409E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788452E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6788496E+11  2.5648150E+02  1.5300000E-01  0.0000000E+00 
1.6788539E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788583E+11  2.5650250E+02  1.5300000E-01  0.0000000E+00 
1.6788626E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788670E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788713E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788757E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788800E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6788844E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788887E+11  2.5648100E+02  1.5400000E-01  0.0000000E+00 
1.6788930E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6788974E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789017E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6789061E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789104E+11  2.5650250E+02  1.5300000E-01  0.0000000E+00 
1.6789148E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6789191E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6789235E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789278E+11  2.5644300E+02  1.5400000E-01  0.0000000E+00 
1.6789322E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789365E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6789409E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789452E+11  2.5651100E+02  1.5400000E-01  0.0000000E+00 
1.6789496E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789539E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789583E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789626E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789800E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6789843E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789887E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789930E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6789974E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6790017E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6790061E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
1.6790104E+11  2.5644350E+02  1.5300000E-01  0.0000000E+00 
1.6790148E+11  2.5648150E+02  1.5300000E-01  0.0000000E+00 
1.6790191E+11  2.5647300E+02  1.5400000E-01  0.0000000E+00 
