Time T dT flags
1.4161166872E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161210341E+11 2.5341400E+02 3.5700000E-01 0.0000000E+00
1.4161253810E+11 2.5335400E+02 3.5700000E-01 0.0000000E+00
1.4161297279E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161340748E+11 2.5335400E+02 3.5700000E-01 0.0000000E+00
1.4161384217E+11 2.5339200E+02 3.5700000E-01 0.0000000E+00
1.4161427686E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161471155E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161514625E+11 2.5342200E+02 3.5700000E-01 0.0000000E+00
1.4161558094E+11 2.5342200E+02 3.5700000E-01 0.0000000E+00
1.4161601563E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161645032E+11 2.5335400E+02 3.5600000E-01 0.0000000E+00
1.4161688501E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161731970E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161775439E+11 2.5342200E+02 3.5600000E-01 0.0000000E+00
1.4161818909E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4161862378E+11 2.5339200E+02 3.5600000E-01 0.0000000E+00
1.4161905847E+11 2.5335400E+02 3.5700000E-01 0.0000000E+00
1.4161949316E+11 2.5335400E+02 3.5700000E-01 0.0000000E+00
1.4161992785E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4162036254E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4162079723E+11 2.5338400E+02 3.5600000E-01 0.0000000E+00
1.4162123193E+11 2.5339200E+02 3.5600000E-01 0.0000000E+00
1.4162166662E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4162210131E+11 2.5335400E+02 3.5700000E-01 0.0000000E+00
1.4162253600E+11 2.5338400E+02 3.5700000E-01 0.0000000E+00
1.4162297069E+11 2.5342200E+02 3.5700000E-01 0.0000000E+00
