Time T dT flags
1.3423752674E+11 2.8567900E+02 -2.9488000E+01 0.0000000E+00
1.3423796143E+11 2.8558500E+02 -2.9493000E+01 0.0000000E+00
1.3423839613E+11 2.8558500E+02 -2.9498000E+01 0.0000000E+00
1.3423883082E+11 2.8558500E+02 -2.9498000E+01 0.0000000E+00
1.3423926551E+11 2.8553700E+02 -2.9492000E+01 0.0000000E+00
1.3423970021E+11 2.8545700E+02 -2.9476000E+01 0.0000000E+00
1.3424013490E+11 2.8545700E+02 -2.9470000E+01 0.0000000E+00
1.3424056960E+11 2.8537700E+02 -2.9464000E+01 0.0000000E+00
1.3424100429E+11 2.8536300E+02 -2.9448000E+01 0.0000000E+00
1.3424143898E+11 2.8531600E+02 -2.9448000E+01 0.0000000E+00
1.3424187368E+11 2.8523600E+02 -2.9452000E+01 0.0000000E+00
1.3424230837E+11 2.8518900E+02 -2.9447000E+01 0.0000000E+00
1.3424274307E+11 2.8515600E+02 -2.9452000E+01 0.0000000E+00
1.3424317776E+11 2.8507600E+02 -2.9451000E+01 0.0000000E+00
1.3424361246E+11 2.8510900E+02 -2.9446000E+01 0.0000000E+00
1.3424404715E+11 2.8501400E+02 -2.9440000E+01 0.0000000E+00
1.3424448184E+11 2.8498200E+02 -2.9424000E+01 0.0000000E+00
1.3424491654E+11 2.8490200E+02 -2.9423000E+01 0.0000000E+00
1.3424535123E+11 2.8490200E+02 -2.9418000E+01 0.0000000E+00
1.3424578593E+11 2.8485500E+02 -2.9402000E+01 0.0000000E+00
1.3424622062E+11 2.8480800E+02 -2.9396000E+01 0.0000000E+00
1.3424665532E+11 2.8479400E+02 -2.9396000E+01 0.0000000E+00
1.3424709001E+11 2.8471400E+02 -2.9405000E+01 0.0000000E+00
1.3424752471E+11 2.8468100E+02 -2.9405000E+01 0.0000000E+00
1.3424795940E+11 2.8463400E+02 -2.9399000E+01 0.0000000E+00
1.3424839410E+11 2.8454000E+02 -2.9393000E+01 0.0000000E+00
1.3424882879E+11 2.8450700E+02 -2.9393000E+01 0.0000000E+00
1.3424926349E+11 2.8450700E+02 -2.9377000E+01 0.0000000E+00
1.3424969818E+11 2.8446000E+02 -2.9372000E+01 0.0000000E+00
1.3425013288E+11 2.8441400E+02 -2.9366000E+01 0.0000000E+00
1.3425056758E+11 2.8436700E+02 -2.9360000E+01 0.0000000E+00
1.3425100227E+11 2.8432000E+02 -2.9349000E+01 0.0000000E+00
1.3425143697E+11 2.8432000E+02 -2.9355000E+01 0.0000000E+00
1.3425187166E+11 2.8422600E+02 -2.9348000E+01 0.0000000E+00
